==17153== Lackey, an example Valgrind tool
==17153== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==17153== Using Valgrind-3.18.1 and LibVEX; rerun with -h for copyright info
==17153== Command: ./array_add
 L 04000f90,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040386d8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04000f98,8
I  04021363,3
I  04021366,4
 L 04000fa0,4
I  0402136a,6
I  04021370,4
 L 04000fa8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040386e0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04000fb0,8
I  04021363,3
I  04021366,4
 L 04000fb8,4
I  0402136a,6
I  04021370,4
 L 04000fc0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040386e8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04000fc8,8
I  04021363,3
I  04021366,4
 L 04000fd0,4
I  0402136a,6
I  04021370,4
 L 04000fd8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040386f0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04000fe0,8
I  04021363,3
I  04021366,4
 L 04000fe8,4
I  0402136a,6
I  04021370,4
 L 04000ff0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040386f8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04000ff8,8
I  04021363,3
I  04021366,4
 L 04001000,4
I  0402136a,6
I  04021370,4
 L 04001008,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038700,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001010,8
I  04021363,3
I  04021366,4
 L 04001018,4
I  0402136a,6
I  04021370,4
 L 04001020,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038708,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001028,8
I  04021363,3
I  04021366,4
 L 04001030,4
I  0402136a,6
I  04021370,4
 L 04001038,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038710,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001040,8
I  04021363,3
I  04021366,4
 L 04001048,4
I  0402136a,6
I  04021370,4
 L 04001050,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038718,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001058,8
I  04021363,3
I  04021366,4
 L 04001060,4
I  0402136a,6
I  04021370,4
 L 04001068,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038720,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001070,8
I  04021363,3
I  04021366,4
 L 04001078,4
I  0402136a,6
I  04021370,4
 L 04001080,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038728,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001088,8
I  04021363,3
I  04021366,4
 L 04001090,4
I  0402136a,6
I  04021370,4
 L 04001098,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038730,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040010a0,8
I  04021363,3
I  04021366,4
 L 040010a8,4
I  0402136a,6
I  04021370,4
 L 040010b0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038738,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040010b8,8
I  04021363,3
I  04021366,4
 L 040010c0,4
I  0402136a,6
I  04021370,4
 L 040010c8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038740,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040010d0,8
I  04021363,3
I  04021366,4
 L 040010d8,4
I  0402136a,6
I  04021370,4
 L 040010e0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038748,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040010e8,8
I  04021363,3
I  04021366,4
 L 040010f0,4
I  0402136a,6
I  04021370,4
 L 040010f8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038750,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001100,8
I  04021363,3
I  04021366,4
 L 04001108,4
I  0402136a,6
I  04021370,4
 L 04001110,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038758,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001118,8
I  04021363,3
I  04021366,4
 L 04001120,4
I  0402136a,6
I  04021370,4
 L 04001128,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038760,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001130,8
I  04021363,3
I  04021366,4
 L 04001138,4
I  0402136a,6
I  04021370,4
 L 04001140,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038770,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001148,8
I  04021363,3
I  04021366,4
 L 04001150,4
I  0402136a,6
I  04021370,4
 L 04001158,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038778,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001160,8
I  04021363,3
I  04021366,4
 L 04001168,4
I  0402136a,6
I  04021370,4
 L 04001170,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038780,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001178,8
I  04021363,3
I  04021366,4
 L 04001180,4
I  0402136a,6
I  04021370,4
 L 04001188,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038788,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001190,8
I  04021363,3
I  04021366,4
 L 04001198,4
I  0402136a,6
I  04021370,4
 L 040011a0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038790,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040011a8,8
I  04021363,3
I  04021366,4
 L 040011b0,4
I  0402136a,6
I  04021370,4
 L 040011b8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038798,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040011c0,8
I  04021363,3
I  04021366,4
 L 040011c8,4
I  0402136a,6
I  04021370,4
 L 040011d0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387a0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040011d8,8
I  04021363,3
I  04021366,4
 L 040011e0,4
I  0402136a,6
I  04021370,4
 L 040011e8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387a8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040011f0,8
I  04021363,3
I  04021366,4
 L 040011f8,4
I  0402136a,6
I  04021370,4
 L 04001200,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387b0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001208,8
I  04021363,3
I  04021366,4
 L 04001210,4
I  0402136a,6
I  04021370,4
 L 04001218,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387b8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001220,8
I  04021363,3
I  04021366,4
 L 04001228,4
I  0402136a,6
I  04021370,4
 L 04001230,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387c0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001238,8
I  04021363,3
I  04021366,4
 L 04001240,4
I  0402136a,6
I  04021370,4
 L 04001248,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387c8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001250,8
I  04021363,3
I  04021366,4
 L 04001258,4
I  0402136a,6
I  04021370,4
 L 04001260,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387d0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001268,8
I  04021363,3
I  04021366,4
 L 04001270,4
I  0402136a,6
I  04021370,4
 L 04001278,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387d8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001280,8
I  04021363,3
I  04021366,4
 L 04001288,4
I  0402136a,6
I  04021370,4
 L 04001290,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387e0,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001298,8
I  04021363,3
I  04021366,4
 L 040012a0,4
I  0402136a,6
I  04021370,4
 L 040012a8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040387e8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040012b0,8
I  04021363,3
I  04021366,4
 L 040012b8,4
I  0402136a,6
I  04021370,4
 L 040012c0,8
I  04021374,4
I  04021378,3
